ID,Name,Region,2010 Population
8,Near North Side,Central,80484
32,Loop,Central,29283
33,Near South Side,Central,21390
5,North Center,North Side,31867
6,Lake View,North Side,94368
7,Lincoln Park,North Side,64116
21,Avondale,North Side,39262
22,Logan Square,North Side,73595
1,Rogers Park,Far North Side,54991
2,West Ridge,Far North Side,71942
3,Uptown,Far North Side,56362
4,Lincoln Square,Far North Side,39493
9,Edison Park,Far North Side,11187
10,Norwood Park,Far North Side,37023
11,Jefferson Park,Far North Side,25448
12,Forest Glen,Far North Side,18508
13,North Park,Far North Side,17931
14,Albany Park,Far North Side,51542
76,O'Hare,Far North Side,12756
77,Edgewater,Far North Side,56521
15,Portage Park,Northwest Side,64124
16,Irving Park,Northwest Side,53359
17,Dunning,Northwest Side,41932
18,Montclare,Northwest Side,13426
19,Belmont Cragin,Northwest Side,78743
20,Hermosa,Northwest Side,25010
23,Humboldt Park,West Side,56323
24,West Town,West Side,81432
25,Austin,West Side,98514
26,West Garfield Park,West Side,18001
27,East Garfield Park,West Side,20567
28,Near West Side,West Side,54881
29,North Lawndale,West Side,35912
30,South Lawndale,West Side,79288
31,Lower West Side,West Side,35769
34,Armour Square,South Side,13391
35,Douglas,South Side,18238
36,Oakland,South Side,5918
37,Fuller Park,South Side,2876
38,Grand Boulevard,South Side,21929
39,Kenwood,South Side,17841
40,Washington Park,South Side,11717
41,Hyde Park,South Side,25681
42,Woodlawn,South Side,25983
43,South Shore,South Side,49767
60,Bridgeport,South Side,31977
69,Greater Grand Crossing,South Side,32602
56,Garfield Ridge,Southwest Side,34513
57,Archer Heights,Southwest Side,13393
58,Brighton Park,Southwest Side,45368
59,McKinley Park,Southwest Side,15612
61,New City,Southwest Side,44377
62,West Elsdon,Southwest Side,18109
63,Gage Park,Southwest Side,39894
64,Clearing,Southwest Side,23139
65,West Lawn,Southwest Side,33355
66,Chicago Lawn,Southwest Side,55628
67,West Englewood,Southwest Side,35505
68,Englewood,Southwest Side,30654
44,Chatham,Far Southeast Side,31028
45,Avalon Park,Far Southeast Side,10185
46,South Chicago,Far Southeast Side,31198
47,Burnside,Far Southeast Side,2916
48,Calumet Heights,Far Southeast Side,13812
49,Roseland,Far Southeast Side,44619
50,Pullman,Far Southeast Side,7325
51,South Deering,Far Southeast Side,15109
52,East Side,Far Southeast Side,23042
53,West Pullman,Far Southeast Side,29651
54,Riverdale,Far Southeast Side,6482
55,Hegewisch,Far Southeast Side,9426
70,Ashburn,Far Southwest Side,41081
71,Auburn Gresham,Far Southwest Side,48743
72,Beverly,Far Southwest Side,20034
73,Washington Heights,Far Southwest Side,26493
74,Mount Greenwood,Far Southwest Side,19093
75,Morgan Park,Far Southwest Side,22544
